School Name,Address
SUN VALLEY ES MAG,7330 BAKMAN AVE SUN VALLEY 91352
TORRES ELA PERF ARTS,4211 DOZIER ST LOS ANGELES 90063
PEARL JOURNALISM MAG,6649 BALBOA BLVD LAKE BALBOA 91406
FENTON PC,11351 DRONFIELD AVE SYLMAR 91331
CROWN PREP ACAD,2055 W 24TH ST. RM 60 LOS ANGELES 90018
CAMINO NUEVO MS #3,2755 W 15TH ST LOS ANGELES 90006
PACOIMA ES,11187 DE FOE AVE PACOIMA 91331
MAGNOLIA SCI ACAD BELL,6411 ORCHARD AVE BELL 90201
AMBASSADOR SCHOOL OF GLOBAL LEADERSHIP,3400 WILSHIRE BLVD LOS ANGELES 90010
PUC EARLY COLLEGE ACAD FOR LEADERS AND SCHOLARS (ECALS),2050 SAN FERNANDO RD LOS ANGELES 90065
ALLIANCE TENNENBAUM FAMILY TECH HS,2050 SAN FERNANDO RD LOS ANGELES 90065
ANIMO COLLEGE PREP ACAD,2265 E 103RD ST LOS ANGELES 90002
SYLMAR BIOTECH ACAD,13050 BORDEN AVE LOS ANGELES 91342
BOYLE HEIGHTS HS STEM,2510 E SIXTH ST LOS ANGELES 90023
CLIFFORD M/T MAG,2150 DUANE ST LOS ANGELES 90039
MAYALL ST ACAD A/T MAG,16701 MAYALL ST NORTH HILLS 91343
ACAD OF MED ARTS AT CARSON HS,22328 S MAIN ST CARSON 90745
ACADEMIC LEADERSHIP COMMUNITY,322 S LUCAS AVE LOS ANGELES 90017
ANGELOU COMM HS - FINE & PERFORMING ARTS ACAD,300 E 53RD ST LOS ANGELES 90011
BANNING HS CIS,1527 LAKME AVE WILMINGTON 90744
CARSON ACAD ED AND EMP,22328 S MAIN ST CARSON 90745
CHAVEZ LA - ARTES,1001 ARROYO AVE SAN FERNANDO 91340
CHAVEZ LA - ASE,1001 ARROYO AVE SAN FERNANDO 91340
CHAVEZ LA - SJ HUM ACAD,1001 ARROYO AVE SAN FERNANDO 91340
HARTS ACAD OF LA,24300 S WESTERN AVE HARBOR CITY 90710
LA GLOBAL STUDIES,322 S LUCAS AVE LOS ANGELES 90017
LA HS FOR THE ARTS,3400 WILSHIRE BLVD LOS ANGELES 90010
ORCHARD ACADEMIES #2B,3620 GAGE AVE BELL 90201
ORCHARD ACADEMIES #2C,3620 GAGE AVE BELL 90201
RIVERA LC COMMUNICATION AND TECH SCHOOL,6100 S CENTRAL AVE LOS ANGELES 90001
RIVERA LC GREEN DESIGN SCHOOL,6100 S CENTRAL AVE LOS ANGELES 90001
RIVERA LC PERFORMING ARTS COMM SCH,6100 S CENTRAL AVE LOS ANGELES 90001
ROOSEVELT HS CMNT,456 S MATHEWS ST LOS ANGELES 90033
SCHOOL FOR SOC JUST,322 S LUCAS AVE LOS ANGELES 90017
SCHOOL FOR THE VISUAL & HUMANITIES,3400 WILSHIRE BLVD LOS ANGELES 90010
SCHOOL OF HISTORY AND DRAMATIC ARTS,2050 SAN FERNANDO RD LOS ANGELES 90065
STEM AT BERNSTEIN HS,1309 N WILTON PL HOLLYWOOD 90028
TORRES ENG & TECH,4211 DOZIER ST LOS ANGELES 90063
TORRES HUM/ART/TECH,4211 DOZIER ST LOS ANGELES 90063
TORRES RENAISSANCE,4211 DOZIER ST LOS ANGELES 90063
TORRES SOC JST LDSHP,4211 DOZIER ST LOS ANGELES 90063
FENTON AVE SCHOOL,11828 GAIN ST LAKE VIEW TERRACE 91342
NAVA LA SCH BUS & TECH,1420 E ADAMS BLVD LOS ANGELES 90011
ACCELERATED ELEM,4000 S MAIN ST LOS ANGELES 90037
ALLIANCE COLLEGE-READY ACAD HS #16,1552 W ROCKWOOD ST LOS ANGELES 90026
ALLIANCE COLLEGE-READY MS ACAD #12,100 E 49TH ST LOS ANGELES 90011
ALLIANCE COLLEGE-READY MS ACAD #12,104 W 47TH PL LOS ANGELES 90011
ALLIANCE LEADERSHIP MS ACAD,2941 W 70TH ST LOS ANGELES 90043
ANIMO SOUTH LA,12226 S WESTERN AVE LOS ANGELES 90047
CAMINO NUEVO ACAD 2-HARVARD,3400 W 3RD ST LOS ANGELES 90020
CAMINO NUEVO CHRTR ACAD,653 BURLINGTON AVE LOS ANGELES 90057
CHAMPS,6818 VAN NUYS BLVD VAN NUYS 91405
CITIZENS OF THE WORLD CHRTR 2,1530 N WILTON PL LOS ANGELES 90028
CITIZENS OF THE WORLD CHRTR 2,221 N JUANITA AVE LOS ANGELES 90004
CITY LANGUAGE IMMERSION CHRTR,4400 W COLISEUM ST LOS ANGELES 90016
COMMUNITY PREP ACAD,7511 S RAYMOND AVE LOS ANGELES 90044
COMMUNITY PREP ACAD,319 E SHERMAN DR CARSON 90746
GRANADA HILLS HS,17081 DEVONSHIRE AVE GRANADA HILLS 91325
KIPP ACAD OF INNOVATION,4800 E CESAR CHAVEZ AVE LOS ANGELES 90022
KIPP ILUMINAR ACAD,4865 E 1ST ST LOS ANGELES 90022
KIPP PHILOSOPHERS ACAD,9110 S CENTRAL AVE LOS ANGELES 90002
KIPP SOL ACAD,4800 E CESAR CHAVEZ AVE LOS ANGELES 90022
MATH AND SCI COLLEGE PREP,3200 W ADAMS BLVD LOS ANGELES 90018
PUC INSPIRE CHRTR ACAD,919 N 8TH ST SAN FERNANDO 91340
PUC TRIUMPH ACAD & CHRTR HS,13361 N GLENOAKS BLVD SYLMAR 91342
TEACH ACAD OF TECH,10045 S WESTERN AVE LOS ANGELES 90047
TEACH TECH HS,10000 S WESTERN AVE LOS ANGELES 90047
UNIVERSITY PREP VALUE HS,700 W WILSHIRE BLVD LOS ANGELES 90017
VALLEY CHRTR MS,6952 VAN NUYS BLVD VAN NUYS 91405
VALOR ACAD CHRTR,9034 BURNET AVE NORTH HILLS 91343
WISH CHRTR MS,7615 S COWAN AVE LOS ANGELES 90045
PALISADES MTH/SCI MAG,15777 BOWDOIN ST PACIFIC PALISADES 90272
ANIMO WHEATLEY CHRTR MS,12226 S WESTERN AVE LOS ANGELES 90047
ANIMO WESTERN CHRTR MS,12226 S WESTERN AVE LOS ANGELES 90047
HASKELL STEAM MAG,15850 TULSA ST GRANADA HILLLS 91344
LOYOLA VILLAGE ES,8821 VILLANOVA AVE LOS ANGELES 90045
